gene,delivery_modality,polarity,up_frac,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,druggability_tractability,is_surface_protein,has_extracellular_domain,extracellular_length,druggable_pathway
ICOS,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.7176470588235294,2,False,669.0,739.0,211.0,70.0,,,True,True,120.0,DRUGGABLE GENOME;SERINE THREONINE KINASE
CD3E,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6882280389201042,1,True,5707.0,4.0,5711.0,1586.0,0.7007847405093005,10.0,True,True,104.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;KINASE
LAT,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6522985211509802,1,True,5532.0,4.0,5536.0,3187.0,,7.0,True,True,4.0,
CD247,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.6880573865839472,1,True,4325.0,5.0,4330.0,828.0,0.6885845464824588,6.0,True,True,9.0,DRUGGABLE GENOME;ENZYME;KINASE
CD28,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5420702179176755,1,True,1793.0,5.0,1506.0,1798.0,0.6754854307844184,,True,True,134.0,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;KINASE
IL4R,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5252837977296182,1,True,726.0,3.0,240.0,729.0,,,True,True,207.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE
IL23R,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.609375,1,False,256.0,256.0,0.0,5.0,,,True,True,332.0,
IFNGR1,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.4090909090909091,1,False,109.0,1.0,110.0,3.0,,,True,True,228.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME
IFNGR2,CAR-T / ADC / 抗體 (細胞表面+胞外域),activator,0.1,1,False,66.0,4.0,70.0,2.0,,,True,True,220.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME
IFNAR1,CAR-T / ADC / 抗體 (細胞表面+胞外域),activator,0.3157894736842105,1,False,11.0,46.0,57.0,39.0,,,True,True,409.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;KINASE
IL7R,CAR-T / ADC / 抗體 (細胞表面+胞外域),activator,0.32711306256860595,1,,,,812.0,99.0,,,True,True,219.0,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;TYROSINE KINASE
SLC3A2,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.72562893081761,0,True,2489.0,3.0,2492.0,52.0,0.8854389501607435,,True,True,425.0,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;TRANSPORTER
TMX1,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5964708613884374,0,True,2346.0,1.0,2347.0,1960.0,0.953116590555264,,True,True,154.0,DRUGGABLE GENOME;THIOREDOXIN
ORAI1,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.7143933685003768,0,True,1247.0,3.0,1250.0,77.0,,,True,True,54.0,
CD5,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.6491340602950609,0,True,1193.0,8.0,358.0,1201.0,,,True,True,348.0,DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE
RNFT2,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.5126811594202898,0,True,1075.0,29.0,35.0,1104.0,,,True,True,295.0,
CD2,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,0.537394451145959,0,True,985.0,4.0,669.0,989.0,,,True,True,185.0,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE
NDFIP2,CAR-T / ADC / 抗體 (細胞表面+胞外域),repressor,0.715472481827622,0,True,833.0,2.0,835.0,128.0,,,True,True,33.0,
PLCG1,小分子 (胞內可成藥口袋),repressor,0.6567370017928562,1,True,5030.0,3.0,5033.0,2218.0,0.4865636818969194,7.0,,,,
VAV1,小分子 (胞內可成藥口袋),mixed,0.6162940419056537,1,False,4828.0,70.0,4898.0,3575.0,0.3444029706478581,5.0,,,,
STAT6,小分子 (胞內可成藥口袋),mixed,0.5025716385011021,1,True,1125.0,3.0,233.0,1128.0,,,False,False,,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;KINASE;TRANSCRIPTION FACTOR
STAT3,小分子 (胞內可成藥口袋),mixed,0.5643004115226338,1,False,668.0,925.0,1370.0,1593.0,,,False,False,,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;KINASE;NUCLEAR HORMONE RECEPTOR;TRANSCRIPTION FACTOR COMPLEX;TUMOR SUPPRESSOR
MYC,小分子 (胞內可成藥口袋),mixed,0.6109467455621301,1,True,637.0,39.0,676.0,41.0,,,False,False,0.0,CLINICALLY ACTIONABLE;TRANSCRIPTION FACTOR
RPTOR,小分子 (胞內可成藥口袋),repressor,0.7474860335195531,1,False,517.0,639.0,1029.0,122.0,,,False,False,,CLINICALLY ACTIONABLE;KINASE;SERINE THREONINE KINASE
IKBKB,小分子 (胞內可成藥口袋),mixed,0.6109215017064846,1,False,292.0,1.0,5.0,293.0,,,False,False,,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TRANSCRIPTION FACTOR
SMARCA4,小分子 (胞內可成藥口袋),mixed,0.4570815450643777,1,False,261.0,40.0,165.0,301.0,,,False,False,,CLINICALLY ACTIONABLE
GZMB,小分子 (胞內可成藥口袋),repressor,0.7582562747688243,1,False,255.0,261.0,496.0,6.0,,,False,False,,DRUGGABLE GENOME;ENZYME;PROTEASE
CCND3,小分子 (胞內可成藥口袋),mixed,0.385,1,False,199.0,1.0,1.0,200.0,,,False,False,,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;KINASE;TRANSCRIPTION FACTOR
NFKB1,小分子 (胞內可成藥口袋),mixed,0.6312849162011173,1,False,115.0,90.0,205.0,63.0,,,False,False,,DRUGGABLE GENOME;KINASE;TRANSCRIPTION FACTOR;TRANSCRIPTION FACTOR COMPLEX
ACLY,小分子 (胞內可成藥口袋),mixed,0.6016520117239542,0,True,2419.0,13.0,1321.0,2432.0,0.400071926771869,,False,False,,DRUGGABLE GENOME;ENZYME
ACACA,小分子 (胞內可成藥口袋),mixed,0.43811610076670315,0,True,909.0,4.0,4.0,913.0,,,False,False,,DRUGGABLE GENOME;ENZYME
COQ6,小分子 (胞內可成藥口袋),mixed,0.5140913508260447,0,True,780.0,20.0,229.0,800.0,,,False,False,,DRUGGABLE GENOME
INPP5D,小分子 (胞內可成藥口袋),repressor,0.6548507462686567,0,True,533.0,3.0,12.0,536.0,,,False,False,,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;ENZYME;KINASE
IRF1,待新模態 (無已知遞送方式),activator,0.3131115459882583,2,False,213.0,271.0,182.0,58.0,,,,,,
BCL10,待新模態 (無已知遞送方式),mixed,0.5725605966438782,1,True,3455.0,1.0,3456.0,2980.0,0.5462126708195334,,,,,
ITK,待新模態 (無已知遞送方式),mixed,0.5913743916764558,1,True,3391.0,2.0,3393.0,2566.0,0.6583348217168689,,,,,
MALT1,待新模態 (無已知遞送方式),mixed,0.5923984272608126,1,True,1637.0,3.0,1640.0,1412.0,0.5559133450604872,,,,,
GATA3,待新模態 (無已知遞送方式),mixed,0.4443786982248521,1,False,365.0,888.0,1239.0,1253.0,,,,,,
TBX21,待新模態 (無已知遞送方式),mixed,0.5471167369901547,1,False,363.0,40.0,308.0,403.0,,,,,,
STAT5A,待新模態 (無已知遞送方式),mixed,0.578544061302682,1,False,252.0,9.0,19.0,261.0,,,,,,
IRF4,待新模態 (無已知遞送方式),mixed,0.6402877697841727,1,False,242.0,325.0,567.0,498.0,,,,,,
NFATC2,待新模態 (無已知遞送方式),mixed,0.6395348837209303,1,False,170.0,2.0,172.0,27.0,,,,,,
FOSL2,待新模態 (無已知遞送方式),mixed,0.5220883534136547,1,False,163.0,35.0,51.0,198.0,,,False,False,,
HIF1A,待新模態 (無已知遞送方式),activator,0.27906976744186046,1,False,127.0,2.0,3.0,129.0,,,,,,
RELA,待新模態 (無已知遞送方式),activator,0.3490566037735849,1,False,102.0,4.0,106.0,38.0,,,,,,
REL,待新模態 (無已知遞送方式),mixed,0.475,1,False,77.0,3.0,80.0,2.0,,,,,,
LRBA,待新模態 (無已知遞送方式),repressor,0.7459577114427861,0,True,2988.0,5.0,2993.0,223.0,0.6044274850704704,,False,False,0.0,
CALCOCO2,待新模態 (無已知遞送方式),repressor,0.7605782792665726,0,True,2347.0,5.0,2352.0,484.0,0.8696402064773731,,False,False,,
NDUFAF3,待新模態 (無已知遞送方式),mixed,0.4175767030681227,0,True,1917.0,6.0,3.0,1923.0,1.3390337239482806,,,,,
MTG1,待新模態 (無已知遞送方式),mixed,0.4582893347412883,0,True,1884.0,10.0,8.0,1894.0,,,,,,
GRSF1,待新模態 (無已知遞送方式),mixed,0.4186046511627907,0,True,1847.0,2.0,22.0,1849.0,1.238268357002918,,,,,
POLG,待新模態 (無已知遞送方式),mixed,0.5281199785752544,0,True,1561.0,40.0,266.0,1601.0,0.8291352903695456,,False,False,,
UBE2E2,待新模態 (無已知遞送方式),repressor,0.7978208232445521,0,True,1520.0,4.0,1524.0,128.0,0.4786828092559536,,False,False,,
UBE2V2,待新模態 (無已知遞送方式),mixed,0.6149584487534626,0,True,1401.0,43.0,32.0,1444.0,,,,,,
RRAGC,待新模態 (無已知遞送方式),mixed,0.5458422174840085,0,True,1270.0,49.0,88.0,1319.0,,,,,,
RPUSD3,待新模態 (無已知遞送方式),mixed,0.4079159935379645,0,True,1225.0,13.0,1.0,1238.0,,,,,,
ANKRD61,待新模態 (無已知遞送方式),mixed,0.5011914217633042,0,True,1176.0,1.0,82.0,1177.0,,,,,,
LIG3,待新模態 (無已知遞送方式),mixed,0.49447748513169076,0,True,1175.0,2.0,2.0,1177.0,,,,,,
RBFA,待新模態 (無已知遞送方式),mixed,0.6295731707317073,0,True,1152.0,14.0,146.0,1166.0,,,,,,
DLAT,待新模態 (無已知遞送方式),mixed,0.5277777777777778,0,True,1113.0,3.0,1.0,1116.0,,,False,False,,
RAC2,待新模態 (無已知遞送方式),mixed,0.48026315789473684,0,True,1060.0,35.0,121.0,1095.0,,,,,,
MTA3,待新模態 (無已知遞送方式),repressor,0.818018018018018,0,True,1051.0,2.0,1053.0,57.0,,,,,,
CBLB,待新模態 (無已知遞送方式),mixed,0.543046357615894,0,True,1022.0,6.0,1028.0,180.0,,,,,,
GTPBP10,待新模態 (無已知遞送方式),mixed,0.36354581673306774,0,True,1002.0,2.0,1.0,1004.0,,,False,False,,
NSUN4,待新模態 (無已知遞送方式),mixed,0.5392070484581498,0,True,989.0,37.0,109.0,1026.0,,,,,,
ARHGAP27,待新模態 (無已知遞送方式),repressor,0.7693069306930693,0,True,925.0,9.0,934.0,76.0,,,,,,
IBA57,待新模態 (無已知遞送方式),mixed,0.534466477809254,0,True,906.0,13.0,140.0,919.0,,,,,,
PDCD5,待新模態 (無已知遞送方式),mixed,0.5665188470066519,0,True,872.0,30.0,38.0,902.0,,,,,,
TFB1M,待新模態 (無已知遞送方式),mixed,0.4122401847575058,0,True,865.0,1.0,7.0,866.0,,,,,,
EGR2,待新模態 (無已知遞送方式),mixed,0.4770063119927863,0,True,855.0,0.0,855.0,254.0,,,,,,
ACOT7,待新模態 (無已知遞送方式),repressor,0.6899408284023668,0,True,843.0,2.0,5.0,845.0,,,,,,
NATD1,待新模態 (無已知遞送方式),repressor,0.7891566265060241,0,True,828.0,2.0,830.0,32.0,,,,,,
MTHFD2,待新模態 (無已知遞送方式),mixed,0.6165413533834586,0,True,797.0,1.0,3.0,798.0,,,False,False,,
ZNF837,待新模態 (無已知遞送方式),mixed,0.5422163588390502,0,True,758.0,0.0,0.0,758.0,,,,,,
ATAD3A,待新模態 (無已知遞送方式),mixed,0.4444444444444444,0,True,718.0,2.0,7.0,720.0,,,False,False,0.0,
MTHFD1L,待新模態 (無已知遞送方式),repressor,0.6703910614525139,0,True,707.0,9.0,31.0,716.0,,,False,False,,
DPH6,待新模態 (無已知遞送方式),mixed,0.44114285714285717,0,True,686.0,32.0,157.0,718.0,,,False,False,,
ECSIT,待新模態 (無已知遞送方式),mixed,0.4697406340057637,0,True,683.0,11.0,26.0,694.0,,,,,,
LAMTOR4,待新模態 (無已知遞送方式),repressor,0.6768172888015717,0,True,657.0,27.0,334.0,684.0,,,False,False,,
PTCD2,待新模態 (無已知遞送方式),mixed,0.4533333333333333,0,True,650.0,50.0,43.0,700.0,,,,,,
PPP3R1,待新模態 (無已知遞送方式),repressor,0.7024647887323944,0,True,612.0,1.0,613.0,523.0,,,,,,
ACAD9,待新模態 (無已知遞送方式),mixed,0.4876441515650741,0,True,606.0,1.0,5.0,607.0,,,False,False,,
AMBRA1,待新模態 (無已知遞送方式),mixed,0.43914473684210525,0,True,602.0,6.0,16.0,608.0,,,,,,
MED13,待新模態 (無已知遞送方式),repressor,0.6843345111896348,0,True,586.0,43.0,220.0,629.0,,,False,False,,
VPS8,待新模態 (無已知遞送方式),repressor,0.702048417132216,0,True,535.0,2.0,4.0,537.0,,,False,False,,
GADD45GIP1,待新模態 (無已知遞送方式),mixed,0.5321252059308073,0,True,527.0,10.0,70.0,537.0,,,,,,
NDUFA9,待新模態 (無已知遞送方式),mixed,0.4894433781190019,0,True,517.0,4.0,17.0,521.0,,,False,False,,
CBX5,待新模態 (無已知遞送方式),mixed,0.4188679245283019,0,True,513.0,49.0,233.0,562.0,,,,,,
COA7,待新模態 (無已知遞送方式),mixed,0.6021505376344086,0,True,501.0,43.0,200.0,544.0,,,,,,
AEBP2,待新模態 (無已知遞送方式),mixed,0.4495575221238938,0,True,498.0,12.0,55.0,510.0,,,,,,
FITM2,抗體 (表面但胞外域有限),repressor,0.7692830445124023,0,True,2586.0,21.0,2607.0,336.0,1.0450714524369302,,True,False,0.0,
HACD2,抗體 (表面但胞外域有限),mixed,0.48946629213483145,0,True,1420.0,4.0,10.0,1424.0,0.7454421044138124,,True,False,0.0,
INSIG1,抗體 (表面但胞外域有限),mixed,0.6233766233766234,0,True,709.0,22.0,116.0,731.0,,,True,False,0.0,
MMGT1,抗體 (表面但胞外域有限),mixed,0.6490566037735849,0,True,699.0,31.0,65.0,730.0,,,True,False,0.0,
MTCH2,抗體 (表面但胞外域有限),mixed,0.5887445887445888,0,True,687.0,6.0,2.0,693.0,,,True,False,0.0,DRUGGABLE GENOME;TRANSPORTER
HACD4,抗體 (表面但胞外域有限),repressor,0.870201096892139,0,True,542.0,5.0,547.0,5.0,,,True,False,0.0,
